"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2"
"TunBirths",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708
"TunMubt",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708
"muIp",0.05,0.00740650163654982,0.132406489236065,1,1,2.2925173163123,45.850346326246
"muTbH",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704037
"TunmuTbAg",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495334
"muH1",0.01,0.00148129988482694,0.0264812999341684,1,1,2.29251682170984,229.251682170984
"muH2",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751
"RRmuHR",3.4,2.26371731808846,4.76371741237333,1,1,28.2456265141042,8.30753721003065
"ImmigVol",1,0.489595255730257,1.68959421414338,1,1,10.4966121525241,10.4966121525241
"ImmigVolFut",0,-0.00999981624765334,0.00999981624765334,2,0,0,0.00510204081632653
"ImDxChng",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843
"RRtbprev",1,0.0393674054677012,3.45925633659979,1,1,1.16325219884846,1.16325219884846
"LtbiPar1",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704037
"LtbiPar2",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495334
"pImAct",0.25,0.0876008004326897,0.462600799067147,0,1,4.69029896714751,14.0708969014425
"TunLtbiTrend",0.6,0.151474056900893,1.35147411037636,1,1,3.67092508297762,6.11820847162937
"ImmigPrevFutLat",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736
"ImmigPrevFutAct",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736
"ExogInf",1e-04,4.79538864648625e-05,0.000170848035454336,1,1,9.99999976217436,99999.9976217436
"rEmmigF1",0.05,0.031980878278332,0.0719808785531924,1,1,23.8341871704041,476.683743408083
"rEmmigF2",0.003,0.00208243082210859,0.00408243082861735,1,1,34.3980235734778,11466.0078578259
"pHR",0.005,0.00195050540541324,0.00945050540915038,0,1,6.61748158531679,1316.87883547804
"CR",10,5.62041129498166,15.6205538531824,1,1,15.1908116868929,1.51908116868929
"Early0",0.5,0.15184954012896,1.05184928162351,1,1,4.57077582225241,9.14155164450483
"RelCrHr",3,1.68613836467279,4.68614120774134,1,1,15.1912206321218,5.06374021070726
"sigmaHr",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637
"sigmaFb",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637
"pfast",0.064,0.00356154120331806,0.200561484697816,0,1,1.30367344334469,19.0662241089161
"ORpfast1",2.5,0.81427964998191,5.11428214094487,1,1,5.02177267330843,2.00870906932337
"ORpfast2",0.5,0.180172910118262,0.980172790625303,1,1,5.82953003922563,11.6590600784513
"ORpfastH",10,3.90681432841682,18.9066806802611,1,1,6.65622036880222,0.665622036880222
"ORpfastPI",0.21,0.0805002847893418,0.400500355795249,1,1,6.4444419110023,30.6878186238205
"rslow",7e-04,7.95644752036434e-05,0.00197956447755842,1,1,1.92235556837763,2746.22224053947
"rslowH",0.042,0.00732836871893207,0.106328374538968,1,1,2.59802219398542,61.8576712853672
"rrSlowFB",1.2,0.962856678356729,1.46285668117573,1,1,88.3318749653768,73.6098958044807
"TunrslowAge",0.2,0.0944580687005136,0.344458061046109,1,1,9.66014581480608,48.3007290740304
"rfast",0.55,0.189400083611475,1.09940013407782,1,1,5.44054183613547,9.89189424751904
"rRecov",0.03,0.0102259922749656,0.0602259909113412,1,1,5.35925205429627,178.641735143209
"rSlfCur",0.2,0.112409299741664,0.312409288193867,1,1,15.1912515285738,75.9562576428692
"rLtScr",0.025,0.0007130066116621,0.0907130113767447,1,1,1.03924185938663,41.569674375465
"SensLt",0.8,0.753117054593602,0.843117065090707,0,1,241.362125221546,60.3405313053865
"SpecLt",0.975,0.964033642453896,0.984033638025269,0,1,905.246771502164,23.2114556795427
"rrTestHr",3,1.17202702217926,5.67204266400108,1,1,6.65605126688223,2.21868375562741
"rrTestLrNoTb",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704037
"pDefLt",0.33,0.290608403041522,0.370608402988645,0,1,174.677682923762,354.648628966425
"EffLt",0.9,0.812226467600921,0.962226424724736,0,1,52.9148897926756,5.87943219918618
"SensSn",0.95,0.895212689017854,0.985212657844371,0,1,81.4700349192273,4.28789657469618
"SensSp",0.995,0.989485271263128,0.998485267105059,0,1,903.979219954568,4.54260914550034
"pImmScen",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964
"DelaySp",0.6,0.375801866060039,0.875801786080502,1,1,21.9519300634154,36.5865501056924
"Dx1",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653
"Dx2",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653
"Dx3",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653
"Dx4",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653
"Dx5",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653
"rrDxH",3,2.08243060519417,4.082431131473,1,1,34.3980056036092,11.4660018678697
"TunRRdxAge",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843
"pDst",0.8,0.69048978424695,0.890489750317982,0,1,47.7010704691515,11.9252676172879
"TunTxMort",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165
"pCurPs",0.96,0.93761328174069,0.977613272271258,0,1,348.969424801689,14.5403927000704
"TxDefEarly",0.1,0.0148130052557107,0.264812969121218,1,1,2.29251753792631,22.9251753792631
"TunTxDef",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616
"RRdefHR",2,1.20039302070409,3.00039217308983,1,1,18.7954139569188,9.39770697845939
"TxQualEarly",0.85,0.752901795865771,0.952901795935996,1,1,277.369968824924,326.317610382263
"TunTxQual",1,0.743683931706346,1.29368394378763,1,1,50.620919590616,50.620919590616
"RRcurDef",0.25,0.0900864649820029,0.490086371785787,1,1,5.82953104251679,23.3181241700672
"pReTx",0.5,0.200000234731081,0.799999765268919,0,1,4.53736957312165,4.53736957312165
